# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
773 39.625 6881.95 6.94656e-06
774 39.675 0 0
775 39.725 8677.38 8.75885e-06
776 39.775 14617.6 1.47549e-05
777 39.825 5293.82 5.34352e-06
778 39.875 8198.43 8.2754e-06
779 39.925 10094.5 1.01892e-05
780 39.975 9216.92 9.30345e-06
781 40.025 1295.51 1.30768e-06
782 40.075 12414.4 1.2531e-05
783 40.125 8711.07 8.79285e-06
784 40.175 1854.03 1.87144e-06
785 40.225 14990.2 1.51309e-05
786 40.275 3245.46 3.27593e-06
787 40.325 14489.8 1.46258e-05
788 40.375 3605.53 3.63938e-06
789 40.425 5803.15 5.85764e-06
790 40.475 10669.3 1.07695e-05
791 40.525 2516.73 2.54036e-06
792 40.575 10612.5 1.07121e-05
793 40.625 7125.21 7.19211e-06
794 40.675 3629.2 3.66327e-06
795 40.725 3747.44 3.78262e-06
796 40.775 11315.9 1.14221e-05
797 40.825 10216.1 1.0312e-05
798 40.875 6736.32 6.79956e-06
799 40.925 7990.13 8.06514e-06
800 40.975 3486.89 3.51963e-06
801 41.025 6083.76 6.14088e-06
802 41.075 12859.2 1.298e-05
803 41.125 4559.51 4.60232e-06
804 41.175 7000.96 7.06669e-06
805 41.225 3434.57 3.46682e-06
806 41.275 12691.9 1.2811e-05
807 41.325 6192.04 6.25018e-06
808 41.375 1246.6 1.2583e-06
809 41.425 10741.3 1.08421e-05
810 41.475 5666.87 5.72007e-06
811 41.525 8960.83 9.04497e-06
812 41.575 12914.3 1.30356e-05
813 41.625 7917.85 7.99219e-06
814 41.675 2727.82 2.75343e-06
815 41.725 4125.88 4.16462e-06
816 41.775 7245.84 7.31387e-06
817 41.825 9127.84 9.21354e-06
818 41.875 6285.37 6.34438e-06
